,Cast,Twit foll,,
297,sadha,,,
298,darshn kumar,0.011,,
299,karan kundra,,F1,Barun
300,lisa ray,0.342,,
301,abhay deol,0.218,,
302,kapil sharma,15.5,,
303,shraddha srinath,0.111,,
304,tanishaa mukerji,0.276,,
305,ritika singh,0.636,,
306,vir das,7.8,,
307,manjari phadnis,0.04,,
308,harman baweja,,F1,
309,tannishtha chatterjee,0.007,,
310,mawra hocane,1.8,,
311,amaan khan,,,
312,boman irani,5.3,,
313,shreya dhanwanthary,0.002,,
314,neha sharma,1.5,,
315,aditya pratap singh,,,
316,yuvika chaudhary,0.005,,
317,manoj joshi,0.096,,
318,rishi verma,,,
319,patralekhaa,0.022,,
320,pranutan bahl,,,
321,swara bhaskar,0.931,,
322,sonu sood,1.1,,
323,hugh bonneville,0.152,,
324,sachin tendulkar,32,,
325,arvind swamy,1.4,,
326,vivek oberoi,2.2,,
327,aishwarya rai bachchan,,F,alia
328,ashutosh rana,,F,manoj baj
329,sanjay dutt,2,,
330,ranbir kapoor,,F,ranvir singh
331,shashank arora,,,
332,irrfan khan,2.2,,
333,manoj pahwa,,,
334,himanshu sharma,,,
335,harish khanna,,,
336,zarine khan,0.223,,
337,shaurya singh,,,
338,gulshan grover,0.598,,
339,devshi khanduri,,,
340,anuj sachdeva,0.006,,
341,sameksha,0.003,,
342,ratna pathak,,F1,neena gupta
343,soha ali khan,2.1,,
344,sunny deol,,F,
345,zakir hussain,0.1,,
346,govind namdev,,,
347,satyadeep misra,0.001,,
348,paresh rawal,2.7,,
349,arbaaz khan,1.5,,
350,yami gautam,3.9,,
351,aarav negi,,,
352,ruhi singh,0.0178,,
353,aditya roy kapur,0.1,,
354,sanjay singh,,,
355,sharad malhotra,0.001,,
356,aditi rao hydari,1,,
357,anjali patil,,,
358,hina khan,0.642,,
359,aksha pardasany,0.023,,
360,govinda,2,F,Sanjay
361,esha gupta,0.429,,
362,rakhi sawant,0.002,,
363,kunaal roy kapur,,F,
364,priya anand,2.2,,
365,kartik aaryan,0.621,,
366,aftab shivdasani,0.32,,
367,mahira khan,2.4,,
368,aishwarya rajesh,1.7,,
369,sayyeshaa,0.454,,
370,sahher bambba,,,
371,rani mukerji,,F,Kajol
372,tapsee pannu,,,
373,manisha singh,0.001,,
374,riva kishan,,,
375,dipti dhotre,,,
376,amit sadh,0.0641,,
377,jhanvi kapoor,,F,
378,vivan bhatena,0.006,,
379,gashmeer mahajani,,,
380,naseeruddin shah,,F,anupam kher
381,gauhar khan,0.881,F1,Amritha
382,kalki koechlin,,F,Huma
383,kumud mishra,0.064,F,Sanjay misra
384,sanjay mishra,0.064,,
385,sukhottam insan,,,
386,akshaye khanna,0.009,,
387,priyanka chopra,25.8,,
388,gillian anderson,0.62,,
389,sudha chandran,,F1,
390,rohan shah,0.013,F2,Vijay varma
391,vijay varma,0.013,,
392,zareen khan,0.223,,
393,ravi kishan,0.129,,
394,manish paul,0.644,,
395,jayesh raj,,,
396,zain khan durrani,,,
397,amrita rao,0.881,,
398,meera chopra,0.063,,
399,vineet kumar singh,,,
400,neha chauhan,,F2,
401,karan deol,0.001,,
402,rishi kapoor,3.5,,
403,shoaib ibrahim,0.004,,
404,krishna chaturvedi,,,
405,natalya llina,,,
406,padmapriya janakiraman,,,
407,taaha shah,0.016,,
408,urmilaa mahanta,,,
409,vikrant massey,0.034,,
410,adah sharma,1.2,,
411,chandrachur singh,,,
412,richa chadha,,,Huma
413,bhumika chawla,0.016,,
414,sudhir pandey,,,
415,rajat kapoor,,,
416,shivam bhaargava,,,
417,reecha sinha,,,
418,isha talwar,,F1,
419,suha gezen,,,
420,gurmeet ram rahim singh,1.2,,
421,aarun nagar,,,
422,shakti kapoor,0.001,,
423,patralekha,0.022,,
424,sidharth malhotra,9.4,,
425,shrenu parikh,0.07,,
426,utkarsh sharma,,,
427,sunny singh,0.06,,
428,mohit raina,0.08,,
429,mir sarwar,,,
430,rasika dugal,0.02,,
431,omkar kapoor,,,
432,jitendra kumar,0.05,,
433,ishaan khatter,,F1,
434,aditi charak,,,
435,nathalia kaur,,,
436,sandeep bharadwaj,,,
437,suraj sharma,,,
438,maanvi gagroo,0.03,,
439,kay kay menon,,F1,ravi kishan
440,ragini khanna,0.096,,
441,kriti sanon,5.3,,
442,adhyayan suman,,,
443,pavail gulati,0.0008,,
444,sonal singh,0.003,,
445,sanaya irani,,F1,Barun
446,banita sandhu,0.031,,
447,gavie chahal,,,
448,bidita bag,0.006,,
449,tushar kapoor,,F1,Aftab
450,sonia mann,,,
451,akshay rangshahi,,,
452,gippy grewal,2,,
453,kangana ranaut,,F,Vidya
454,sharmin segal,,,
455,tara sutaria,0.15,F,annaya pandey
456,virendra saxena,,,
457,vaani kapoor,0.426,,
458,tillotama shome,0.007,,
459,ali fazal,,F1,Barun
460,dharmendra,0.321,,
461,vikrant anand,,,
462,vinay rana,,,
463,pooja sawant,,,
464,rajbeer singh,,,
465,tamannaah,4.4,,
466,sid mallya,0.759,,
467,archana shastry,,,
468,athiya shetty,2.4,,
469,sushant singh rajput,1.7,,
470,megha akash,0.288,,
471,arunoday singh,,,
472,ranveer singh,13.5,,
473,neha dhupia,2.6,,
474,kritika kamra,0.62,,
475,himesh reshammiya,0.012,,
476,ashwin mushran,0.063,,
477,govind namdeo,,,
478,harshvardhan kapoor,,F1,ishan
479,arsh sehrawat,,,
480,shiv panditt,,,
481,ira dubey,0.003,,
482,manav vij,,,
483,ayushman khurana,5.3,,
484,avinash tiwary,,,
485,natasha fernandez,,,
486,talha arshad reshi,,,
487,sara loren,,,
488,sudev nair,,,
489,preity zinta,4.8,,
490,jacqueline fernandez,14.3,,
